feature,importance
alcohol,0.16398155644244322
sulphates,0.12026568423833131
volatile acidity,0.11254454757573606
density,0.10311894200667539
citric acid,0.08604961807178213
fixed acidity,0.07756945632247857
chlorides,0.0739593792051351
total sulfur dioxide,0.07243710480637691
pH,0.06729438614586407
residual sugar,0.06526352819737173
free sulfur dioxide,0.05751579698780552
